,House,Type,Kg,Price,Servings,Kcal,Exp,Meat & Fish,Dairy & Eggs,Fruits & Vegetables,Dry Foods & Baked Goods,"Snacks, Condiments, Liquids, Oils, Grease, & Other",Store-Prepared Items
0,0,"Cooked, Prepped, Leftovers",0.22800000000000054,1.6552800000000039,2.4000000000000057,636.1200000000015,0,0.0,0.0,0.0,0.0,2.4000000000000057,0.0
1,0,Fruits & Vegetables,0.6960000000000001,5.542944000000001,6.0,549.84,0,0.0,0.0,6.0,0.0,0.0,0.0
2,0,Meat & Fish,0.36,4.752,4.0,806.4,2,4.0,0.0,0.0,0.0,0.0,0.0
3,0,Dry Foods & Baked Goods,0.39,1.2870000000000001,6.0,1310.4,3,0.0,0.0,0.0,6.0,0.0,0.0
4,0,Dry Foods & Baked Goods,0.78,2.5740000000000007,12.0,2620.8,5,0.0,0.0,0.0,12.0,0.0,0.0
5,0,Meat & Fish,1.08,14.256000000000002,12.0,2419.2000000000003,6,12.0,0.0,0.0,0.0,0.0,0.0
6,0,Fruits & Vegetables,1.3920000000000001,11.085888000000002,12.0,1099.68,8,0.0,0.0,12.0,0.0,0.0,0.0
7,0,Dairy & Eggs,0.654,5.115733333333334,6.0,1183.74,11,0.0,6.0,0.0,0.0,0.0,0.0
8,0,Dairy & Eggs,2.18,17.052444444444447,20.0,3945.8,12,0.0,20.0,0.0,0.0,0.0,0.0
9,0,Dairy & Eggs,0.43600000000000005,3.4104888888888896,4.0,789.1600000000001,14,0.0,4.0,0.0,0.0,0.0,0.0
10,0,Dairy & Eggs,0.654,5.115733333333334,6.0,1183.74,18,0.0,6.0,0.0,0.0,0.0,0.0
11,0,Dairy & Eggs,1.308,10.231466666666668,12.0,2367.48,21,0.0,12.0,0.0,0.0,0.0,0.0
12,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",0.5700000000000001,4.1382,6.0,1590.3000000000002,27,0.0,0.0,0.0,0.0,6.0,0.0
13,0,Dry Foods & Baked Goods,0.26,0.8580000000000002,4.0,873.6,42,0.0,0.0,0.0,4.0,0.0,0.0
14,1,Store-Prepared Items,0.5700000000000001,6.621120000000001,6.0,1590.3000000000002,-1,0.0,0.0,0.0,0.0,0.0,6.0
